Ward,Place_Name,Place_ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Chiyoda,Yasukunijinja Shrine,ChIJ1UOuDWiMGGARkM6Iv-ZU57U,1,5,1,5,8,5,17,3,1,4
Chiyoda,The National Museum of Modern Art Tokyo,ChIJL0kSfg2MGGARKv5KX53ZZ2Y,4,10,2,5,8,11,22,6,8,10
Chiyoda,Science and Technology Museum,ChIJdfZ2xRKMGGARQSyxv6wfzw8,1,13,0,1,7,4,26,1,4,10
Chiyoda,National Showa Memorial Museum,ChIJP5nfE2uMGGARCD9T7XHuNb4,8,10,0,13,8,23,29,9,6,11
Chiyoda,Tsukudo Shrine,ChIJ4UhE-GqMGGARlLgTJ-LIbtU,3,7,2,10,3,11,17,5,2,11
Chiyoda,Tokyodaijingu Shrine,ChIJq6q63UOMGGAR7zYBKd7iI3I,3,20,2,7,21,4,31,0,11,20
Chiyoda,JCII Camera Museum,ChIJVVXl-2-MGGAR7svTOrr-IS0,0,3,1,2,5,6,15,1,2,7
Chiyoda,千秋文庫,ChIJk80baWmMGGARO_Z_Ol-4MMg,0,12,4,0,9,11,29,3,4,18
Chiyoda,Fukiage Omiya Palace,ChIJLVL4SHKMGGARR8l5zZQx02A,0,1,0,0,1,0,2,0,2,1
Chiyoda,Daijingu Hall,ChIJh7Ol3UOMGGARQ3oMdDHhP3M,1,8,2,3,2,8,10,2,3,0
Chiyoda,Shōkeikan,ChIJ_w85TGuMGGARezMKgo73Qx0,19,15,5,40,7,48,55,28,6,24
Chiyoda,Tayasumon Gate,ChIJQwJLmGuMGGARZaD_O7oWHPI,3,8,1,3,7,6,22,2,5,23
Chiyoda,Kudanzaka Park,ChIJGZArzGuMGGARPTxpzTl2nHE,2,9,1,1,10,7,21,5,3,7
Chiyoda,Takatōrō Jōtōmyōdai,ChIJzbiOtmuMGGARAnAP53OIJZ0,0,8,0,1,4,3,27,3,3,11
Chiyoda,Yayoi Ireido,ChIJq9r0nmuMGGARWwwQPkWWkws,0,11,1,8,3,7,22,7,8,10
Chiyoda,Clock Tower,ChIJp8s7DqGNGGAR4bsVhMgJC1s,2,4,0,2,0,3,4,2,2,3
Chiyoda,さざれ石,ChIJ6xv7V--NGGAReRAJJ7vza5Y,5,2,1,2,1,8,2,1,0,5
Chiyoda,Statue of Ōmura Masujirō,ChIJ8Sc1l2mMGGARIA_VxjgBFQE,2,3,1,0,4,2,10,0,2,3
Chiyoda,Nabewarizaka,ChIJ3XfHsG6MGGARjlkcczb5W4Q,2,3,4,1,5,6,8,0,3,4
Chiyoda,Chidorigafuchi Moat,ChIJndmxIRmNGGAR9zOZKItqjDI,9,26,7,3,23,14,45,5,11,19
Chiyoda,Shimizumon Gate,ChIJ70n0MROMGGARMjFhBBLsEGk,3,4,1,1,5,4,11,1,3,7
Chiyoda,大東文化大学発祥地跡,ChIJNdVJeUKMGGARLNpCPSZYFqY,1,6,0,0,4,2,11,0,1,6
Chiyoda,ソメイヨシノの標本木東京,ChIJsV-c1IqNGGARKep9AmuyJ04,25,39,25,2,46,6,72,0,27,43
Chiyoda,Ujibashi Childrens Playground,ChIJmRomzRSMGGARG5uCrkey7Ac,1,5,1,1,6,4,10,0,6,4
Chiyoda,Steam Locomotive C56 31,ChIJrZTVY6uNGGAR27DTFRwwEIA,2,4,1,8,2,7,12,0,1,4
Chiyoda,Takarada Bridge,ChIJN4ojXBOMGGAR09rc4sbXPM4,0,3,0,0,2,1,9,1,0,7
Chiyoda,Statue of Special Attack Squad Braves,ChIJJ8aSHWiMGGARmjhDGoLDel0,0,10,0,4,8,5,17,3,3,9
Chiyoda,Nigo hanzaka,ChIJx7kQ7EGMGGARDaVgIxU5TkE,0,4,0,0,0,1,7,0,0,5
Chiyoda,Monument of Daidokoro Machi,ChIJlR0PLECMGGAR7feMfB3DdEY,1,0,1,0,0,3,3,0,0,3
Chiyoda,Hill of Fujimi,ChIJzxOEskKMGGAR0ht59j0AZA8,0,6,3,2,2,4,9,1,1,7
Chiyoda,History Promenade,ChIJTd8VpEGMGGARInWwbg0RKbw,1,5,1,5,2,3,12,3,3,7
Chiyoda,Shinkawa Bridge,ChIJ0-2bqmqMGGARdf1PbCvHIro,0,2,0,0,4,0,7,0,1,1
Chiyoda,Site of Yosano Tekkan  Akikos Former Residence,ChIJw5vbJkOMGGAR_aKWf0Alu5M,1,8,1,7,6,7,11,4,3,9
Chiyoda,Site of Yosano Tekkan  Akikos Former Residence (Memory of Chiyoda Ward Town),ChIJpf9uI2SMGGARo-lRwREcj3I,0,5,0,1,1,0,5,0,0,1
Chiyoda,ShimizuBori Machikado Garden,ChIJjVswbBKMGGARBGXGbz_AbDQ,0,2,0,1,1,2,1,3,2,0
Chiyoda,Kiji Bridge,ChIJ89xfRxKMGGARNpKd03x1yzU,3,2,1,2,2,3,10,2,2,2
Chiyoda,Japan Red Cross Founding Place,ChIJOXDiMkOMGGARHxDj5RdvEE8,5,4,1,4,4,7,10,3,1,8
Chiyoda,Gomizaka hill,ChIJ7YjDdm-MGGARQHd58om7axs,0,3,1,2,0,1,7,0,0,4
Chiyoda,Aiai Bridge,ChIJn3jzZUCMGGARuppFZM174i8,1,8,1,2,16,4,32,2,2,9
Chiyoda,Nishikanda Park,ChIJS2KjCxWMGGARlSmbfzCTDhQ,0,6,1,1,3,2,7,1,3,4
Chiyoda,Jimbōchō Aizen Park,ChIJu36bFRSMGGARJ1K6y-kX1Zs,0,2,6,2,1,13,13,5,1,3
Chiyoda,Site of Kushida Magoichis Former Residence,ChIJhw-N7mWMGGARMls0Ub9gTwU,1,10,1,2,6,4,12,2,1,9
Chiyoda,Site of Taki Rentarōs Former Residence,ChIJ4Ry1gGWMGGARVj3doAlwlYI,4,9,3,8,12,14,26,12,4,18
Chiyoda,日本医科大学付属第一病院記念碑,ChIJD_tPB0SMGGARkbBIjASku1g,2,4,0,5,0,1,6,4,0,6
Chiyoda,皇典講究所發祥記念碑,ChIJx31pB0SMGGARSeW_hPKNz7g,3,1,0,0,1,3,7,0,1,5
Chiyoda,Nishihanebashimon Gate,ChIJ1cJ9wgyMGGARNGBVSQ_0nDk,7,9,0,1,5,11,18,2,5,15
Chiyoda,Togozaka,ChIJa7t1YGaMGGARM9Pws0tXXt0,0,4,0,0,2,1,4,2,0,6
Chiyoda,Edo Castle Ruins,ChIJiZggVguMGGARaW4UFY3Mo8Q,3,12,3,3,16,6,27,4,7,15
Chiyoda,Chidorigafuchi Park,ChIJ2Upy0nGMGGARNdDKDGtkffY,4,16,2,1,24,8,52,2,6,16
Chiyoda,Edo Castle Outer Moat trace,ChIJg7nk8l2MGGAR4rASJbuRXjA,4,8,0,0,8,6,13,0,0,10
Chiyoda,Shimodokanbori Moat,ChIJBdU8ugyMGGARJ9UXAFmePUI,0,2,0,1,1,0,3,0,0,2
Chiyoda,江戸城築城の碑,ChIJn9MlcQ6MGGARYvt5eiV0b5k,12,13,3,9,11,16,34,6,7,13
Chiyoda,Parliamentary Museum,ChIJCSOV_omLGGARC30qXmCHB7A,3,9,1,4,9,3,19,1,5,8
Chiyoda,National Diet Building,ChIJibDhsomLGGARkIZSXvrUx0g,0,5,0,5,4,1,24,2,2,15
Chiyoda,Hie Shrine,ChIJF0MR5MSmH2ARj3x0ov0aQ-8,0,8,0,1,9,0,21,4,5,14
Chiyoda,Tokyo Garden Terrace Kioicho,ChIJ4Z9j7XuMGGAR9u6LL1dJtJ0,1,15,0,2,21,2,42,2,11,17
Chiyoda,Site of AkasakaMitsuke Gate,ChIJoRtqW3mMGGAR_IfueEJk_5U,4,5,0,0,2,6,8,0,3,7
Chiyoda,St Ignatius Catholic Church,ChIJNZ056omMGGARZhItdVTT87M,0,26,2,1,26,5,49,4,6,33
Chiyoda,Kioi Art Gallery Edo IseKatagami Kimono Museum,ChIJ63TAg3uMGGARUhoxazPhn7Q,3,1,2,2,4,4,9,3,2,4
Chiyoda,JCII Photo Salon,ChIJ8d_x-2-MGGARauUw6ERrqC4,2,3,0,1,3,3,16,0,1,8
Chiyoda,大衆酒場 餃子いち 半蔵門麹町店,ChIJVVVJYnqMGGARV-HPtLpEQH0,0,3,0,0,4,0,5,0,1,5
Chiyoda,Oishi Fossils Gallery of Mizuta Memorial Museum Josai Unversity Educational Corporation,ChIJq6oaRXqMGGARO38fkV_jVbE,0,5,0,2,4,4,17,1,3,9
Chiyoda,Memorial Gallery of Toshima Yasumasa Annex,ChIJszHNB3CMGGARSGgpqCntYxI,0,0,0,0,1,0,2,0,0,1
Chiyoda,Hanzomon Museum,ChIJAQDQVmWMGGAR4dNK6sEJZ80,0,5,1,1,5,4,13,1,3,9
Chiyoda,Hanzōmon Kids Pond,ChIJvVErVHCMGGARuf-ToldwmNM,0,13,0,1,7,3,18,0,4,12
Chiyoda,Nagaizaka Slope,ChIJr38YXWWMGGAR-m5mqTPXdMI,1,2,2,3,1,3,5,0,1,3
Chiyoda,Foundation monument of First Tokyo municipal JHS,ChIJq0g-TXCMGGAR-o7ekmZpZaI,1,2,0,2,3,2,16,1,2,17
Chiyoda,100th anniversary of the Japanese emigrating to Mexico  by Mexican artist Sebastián,ChIJQfs6S3CMGGARIM3RsqaggDc,0,5,0,0,5,0,17,2,4,5
Chiyoda,Suwazaka hill,ChIJjenolXuMGGARgOBTvZTPBp4,2,1,1,1,1,2,2,2,1,5
Chiyoda,Minamihōgenzaka,ChIJme_6xmWMGGARApVBn9JN0ow,1,1,0,1,0,1,10,1,1,9
Chiyoda,平和の群像菊池一雄寺内正毅銅像跡,ChIJs8ER-XaMGGAREKIvM9Ji5kQ,2,4,1,2,4,3,25,3,1,9
Chiyoda,Miyakezaka Syo Park,ChIJ-5FsWHaMGGARqbbg6TMXPMU,2,8,1,1,12,7,25,3,2,8
Chiyoda,Shimizudani Park,ChIJ0zbC6nyMGGAROfFoUq13fnw,1,10,1,3,13,7,24,2,3,10
Chiyoda,偕香苑,ChIJVVXB6nyMGGARVEVCpWUoLQo,0,1,0,0,1,0,4,0,1,0
Chiyoda,Monument of Nobles Women College,ChIJuVLHr3mMGGAR9ACBD0mo7E8,1,2,0,0,1,3,9,0,1,10
Chiyoda,Foundation monument of Tokyo Jogakkan,ChIJvwsuq72NGGAR70DiLrn4Obw,5,4,2,6,5,5,17,4,2,12
Chiyoda,Hotel New Otani Japanese Garden,ChIJd0TGAH2MGGARdoUx5v0t2yo,1,4,0,3,10,7,14,1,2,7
Chiyoda,Nakayoshi Park Kōjimachi Kids Square,ChIJBzNAQ2KMGGARJ1v9BGmSYj0,0,3,0,0,3,2,4,0,1,2
Chiyoda,Obizaka,ChIJ0aK9LGGMGGARnp_YkwKPZgI,2,1,5,9,0,6,11,2,1,6
Chiyoda,Site of the KuichigaiMitsuke,ChIJsR2kVn2MGGARzfT8eo-ciHs,11,9,3,15,5,18,28,6,4,18
Chiyoda,Japanese Geodetic Origin Point,ChIJN_ucJIqLGGARpSbER4BCoPQ,2,5,2,1,3,3,10,4,3,5
Chiyoda,The Diet Front Park,ChIJRwdJJIqLGGAR6wrIM__UeZg,7,15,4,5,15,9,34,8,6,9
Chiyoda,Sannoinari Shrine,ChIJVVXigYeLGGARjnqtQYmiyTM,0,4,0,3,3,3,9,1,2,4
Chiyoda,Sannōzaka Slope,ChIJvdjwZYiLGGAR5ilFlkRrlF8,0,1,3,0,0,4,3,1,0,6
Chiyoda,Sakura Well,ChIJryeESYqLGGAR60avG3cGwd0,2,1,2,2,2,3,13,1,1,6
Chiyoda,Tokyo Kotsu Kaikan,ChIJASonFuWLGGARoLBihp8-Dck,0,4,0,0,4,1,5,0,1,1
Chiyoda,Imperial Palace,ChIJTQbYAg2MGGARt22eNwtfGtE,2,11,1,2,11,6,35,1,3,22
Chiyoda,The National Museum of the Imperial Collections Sannomaru Shozokan,ChIJPfFaQhOMGGARTfig6X5OJvM,4,8,3,1,10,7,16,5,5,7
Chiyoda,Imperial Palace East National Gardens,ChIJPfFaQhOMGGAR-QPbNQoAG6M,4,12,2,4,19,3,34,0,5,13
Chiyoda,Chowaden Reception Hall of lmperial Palace,ChIJ-w9nwAqMGGARuiyw3jm3Ios,1,6,1,1,7,1,19,1,4,10
Chiyoda,Mitsubishi Ichigokan Museum,ChIJuyY-ZfqLGGAREYR9A10IXPQ,0,16,0,0,19,1,41,7,12,13
Chiyoda,Tokyo Station Gallery,ChIJtxODuv6LGGAR4xf7X3WayX0,0,5,1,0,4,1,14,2,5,5
Chiyoda,Kokyo Gaien National Garden,ChIJAQCEbPGLGGARFa0L-v-rNtg,2,9,2,2,13,5,21,3,6,7
Chiyoda,Seikado Bunko Art Museum,ChIJz-ZkAQb0GGARLd-j4HlLkaM,1,18,0,2,20,4,38,2,11,15
Chiyoda,Idemitsu Museum of Arts,ChIJoUobW_CLGGARL_ES0JDK5lg,1,6,1,2,4,2,6,1,4,4
Chiyoda,Fountain of Hibiya Park,ChIJgYcKD_KLGGARyM933-RbFaY,1,7,0,0,8,0,13,1,3,8
Chiyoda,Intermediatheque,ChIJF5AiNPqLGGAR2igPgxC2_Kw,0,3,0,0,3,4,14,5,3,5
Chiyoda,KITTE Garden,ChIJtZRvRvqLGGARdS57rQP2NEk,0,11,0,1,10,0,20,1,4,6
Chiyoda,Marunouchi Square,ChIJAylxefmLGGARmouNFJGoD3E,2,6,1,2,5,2,14,1,1,5
Chiyoda,Mitsubishi UFJ Trust and Banking Museum,ChIJvQWmVviLGGARWUVZ75YS5Jw,1,9,1,1,8,4,24,2,5,28
Chiyoda,Wadakura Fountain National Park,ChIJV4TDwfeLGGARZZY83rpWpSA,0,6,0,0,5,2,12,2,5,5
Chiyoda,The Birthplace of Nippon Dental University,ChIJxT_D7weMGGARBDvBJEWFNao,2,1,0,0,4,3,6,2,1,3
Chiyoda,Site of Matsunooroka Corridor,ChIJhZsO6QuMGGARKpytUX8ZqOs,13,7,6,6,6,17,25,10,10,9
Chiyoda,Statue of Kusunoki Masashige,ChIJ-SEtT_GLGGARh19OTroY4bA,0,5,1,3,6,2,14,0,4,9
Chiyoda,Babasakimon Gate Monument,ChIJ43Sw2_CLGGARh5FCOXxs2tQ,3,4,1,1,5,4,15,3,1,22
Chiyoda,Mt Mikasa,ChIJcUcaufOLGGARsuW5JEIux_U,4,7,2,3,2,4,7,1,1,2
Chiyoda,Pelican Fountains,ChIJ-6ZEL_CLGGARRMzYsKSF188,0,15,0,0,10,2,17,3,5,15
Chiyoda,リュウゼツラン,ChIJ_YndeACLGGAR4Hh7CJ4qPDo,0,9,0,1,7,0,7,0,1,5
Chiyoda,Health Field,ChIJgTZzrvOLGGARoigItuM4MWI,0,4,0,0,5,1,5,0,3,4
Chiyoda,The Place of Death of Date Masamune,ChIJVzm4lvGLGGARQcfrzMS4DcA,0,0,0,0,1,0,2,0,0,2
Chiyoda,Kikyōmon Gate,ChIJmdef7AmMGGARhKjmuJGUSNs,2,14,2,2,6,7,13,5,3,10
Chiyoda,Flowerbed 1,ChIJ05OYU2qLGGARdiRMwrnekMs,0,18,0,1,17,4,22,4,3,14
Chiyoda,Remains of Hibiya Turret of Edo Castle,ChIJSVlhwPGLGGARz28AxXTPVEo,10,10,5,5,6,19,35,7,4,20
Chiyoda,丸の内 仲通り,ChIJAVgJ6zmLGGAR99WBL5-fomQ,0,3,0,0,5,0,7,0,6,6
Chiyoda,第一生命ギャラリー,ChIJV7F2OPCLGGAR8vcoxV5KS2A,0,0,0,0,0,0,0,0,0,0
Chiyoda,Ponta Square,ChIJQfTOsD2LGGARysb_0G6009I,0,2,0,1,2,0,3,0,1,1
Chiyoda,Shinjiike Pond,ChIJ23HgvY-LGGARzGvMuq9sbFQ,2,4,2,2,5,4,8,2,1,5
Chiyoda,Remains of Wadakuramon Gate Guardhouse,ChIJ0QFUhfeLGGARcBgc0OSQI2U,1,3,0,1,2,2,10,0,0,4
Chiyoda,Ancient Scandinavian Runestone Replica,ChIJBSyx9vGLGGARFTYqDttIVMo,6,5,2,3,4,8,8,4,3,5
Chiyoda,Mitsubishi Center Digital Gallery,ChIJ9yIfZfqLGGART3DQZ4CfzgU,0,1,0,0,1,0,1,1,1,0
Chiyoda,Wadakuramon Gate,ChIJn_Bp6PeLGGARAfpWo7lBTcA,2,2,1,0,1,1,5,1,1,6
Chiyoda,丸ノ内イルミネーション,ChIJcYAKdrqLGGARjweYR6KBMUQ,1,21,1,7,22,11,41,3,9,23
Chiyoda,Obansho Guardhouse,ChIJ8zjh2AuMGGARH4JAMFrF8FQ,1,0,0,11,2,4,21,2,1,10
Chiyoda,Grand Fountain,ChIJr62ciOSLGGARIs6ax4bn-a8,0,0,0,1,2,0,5,0,0,0
Chiyoda,Hibiya Step Plaza,ChIJ8aEILO6LGGARPVDPsPKqefw,1,6,2,1,3,1,11,1,3,5
Chiyoda,Park View Garden,ChIJneixJe6LGGARfXvzyW1mY_U,6,11,5,8,11,16,23,3,3,15
Chiyoda,Tsubonemon Gate,ChIJ0cCkZguMGGAR3ErK3Ay-awQ,2,5,1,4,3,1,8,2,2,9
Chiyoda,Haniwa,ChIJqR-XViGLGGARPgAQi4QmyI0,3,12,1,3,14,4,25,7,9,8
Chiyoda,Fujidana,ChIJVy3nmeGLGGARp_nCDwYm0c0,5,10,0,5,9,2,19,1,2,7
Chiyoda,Crane Fountain,ChIJhxcV4MGLGGARopLeXlAS9tY,2,4,0,3,2,8,17,3,0,7
Chiyoda,Godzilla Statue,ChIJj9FCzO-LGGARv0qenUaDws4,4,6,2,3,5,8,17,3,4,6
Chiyoda,Edo Castle keep restoration model,ChIJ93STsrqNGGAReyjjarHT2cg,1,4,0,3,4,2,25,1,1,2
Chiyoda,Gin no Suzu,ChIJ9-LJdPyLGGARZeSwNOHJv3I,0,2,0,1,3,2,4,1,2,4
Chiyoda,Former Tokyo Central Postmasters Office,ChIJH5qNNPqLGGAReFR56HZUyfs,0,1,0,0,2,2,12,0,2,3
Chiyoda,Remains of Tokyo Prefectural Office,ChIJP0Kk4PqLGGARJ3adoHhSblc,3,1,0,4,1,7,7,1,0,4
Chiyoda,休憩所,ChIJ2TLQa_qNGGARykotPhNhxzk,1,1,0,0,1,0,5,0,0,3
Chiyoda,Ōtemon Gate,ChIJ7-cJ_wiMGGAR_wayVide6uo,3,9,0,5,7,9,36,2,3,27
Chiyoda,Imperial Palace Main Gate Stone Bridge Decorative Lamp,ChIJgzwL_QuMGGAR6xGd6K4fYGk,5,2,0,5,7,7,29,0,4,8
Chiyoda,Bambinart Gallery,ChIJ8QD2sh-MGGAR1LiPsPUSBXg,1,2,2,1,2,3,7,2,2,3
Chiyoda,Yanagimori Shrine,ChIJS2dPOKiOGGAREfQsUq73wP0,3,7,2,3,7,8,21,1,1,17
Chiyoda,Otamagaike Pond Site,ChIJ1abH0vyLGGARoSlvRMJ3JuM,0,5,1,5,5,8,18,5,5,9
Chiyoda,Horin Park,ChIJ58mpjx6MGGARseWnPsaMkNI,0,12,2,3,13,8,28,1,4,13
Chiyoda,Myojin Otokozaka Stair,ChIJFSnzsB6MGGARnojVfoqkXW4,1,3,0,0,1,3,6,1,0,5
Chiyoda,Kanda Myoujin Shrine,ChIJ7RsWzB6MGGARi3xBv7bkl_M,0,9,1,0,18,2,33,1,10,17
Chiyoda,Ogawa Hiroba,ChIJd2lidxCMGGARqEE0ey3opTo,2,16,0,4,7,4,22,1,1,6
Chiyoda,3331 Arts Chiyoda,ChIJWUPQrR-MGGARa622uywYz2E,3,20,2,2,19,4,43,11,14,19
Chiyoda,Manseibashi Station Remains,ChIJF-kS1ByMGGARfX9TAILqL3w,1,7,0,0,6,2,17,1,4,5
Chiyoda,Izumi Bridge,ChIJod60-KiOGGARzcq38CBviUQ,6,3,5,4,4,10,11,4,3,4
Chiyoda,Site of Sakuma Bridge,ChIJDRpmZ6iOGGAR6hdWLVhNFmw,0,4,0,2,1,2,11,2,0,2
Chiyoda,Akihabara Park,ChIJpQd7ZqiOGGARsRs2aimeHl4,2,4,2,1,3,1,9,3,1,3
Chiyoda,秋葉原歩行者天国,ChIJD7xVrNuNGGARTGvk1WfwdnI,2,3,1,2,2,8,5,2,1,3
Chiyoda,日本文化体験 庵an東京  AN TOKYO Japanese Culture Experience,ChIJ4e0xtBOPGGARctrNeHiaubE,1,13,1,4,15,6,36,3,12,12
Chiyoda,Akihabara Electric Town,ChIJZzSYoB2MGGARfBcicn7sx28,0,13,0,4,3,5,25,1,0,8
Chiyoda,Awaji Park,ChIJb_7IaRuMGGARavmrYh6B_5w,0,1,0,0,2,0,4,1,1,2
Chiyoda,YKK,ChIJz3TS9aaOGGARwdZXzammqSQ,3,11,2,4,11,6,31,2,6,8
Chiyoda,Remains of Kanda Hatchobori,ChIJ_3lj4aqOGGAR-qABtwqYCpE,1,11,2,9,2,10,17,4,4,11
Chiyoda,Hill of Ghost,ChIJ8xqjvhuMGGAR8vSlKVW80l0,6,11,5,9,9,6,18,7,6,14
Chiyoda,Park Gallery,ChIJ76X9mh6MGGAR_fhLJ312wT0,0,4,0,0,5,0,11,3,6,3
Chiyoda,Kobaizaka Slope,ChIJL3baNBqMGGARpWtITdtR87g,0,3,0,3,0,1,6,0,0,2
Chiyoda,Shusse Fudoson,ChIJVVW4TAGMGGARV7MjXGiZD1E,3,3,3,6,2,7,12,2,5,5
Chiyoda,Mikura Bridge,ChIJlXGmj66OGGARxNIcdlKKjCE,1,2,1,3,1,3,6,2,0,4
Chiyoda,Chiyoda Kuritsu Izumi Park,ChIJdScsSK-OGGARzKMrlFcqwN4,1,9,2,1,6,4,10,1,5,7
Chiyoda,Ryukan Childrens Park,ChIJUxjq76yOGGARBhZMImQywT8,0,1,0,1,1,5,5,0,2,1
Chiyoda,Hijiri Bridge,ChIJi3JUZACNGGARXyYn0j7sCkE,1,17,0,3,8,8,13,2,6,5
Chiyoda,Uchikanda Ojima Park,ChIJrdkPmgaMGGARxBYfVzVugQA,4,5,2,1,6,9,19,1,2,6
